sound	source	issue	date	page
BLINK BLINK	DEFORMED EYE BLINKING	89	SEPT 1964	PAGE 48
BLINK BLINK	FLASHING TRUCK HEADLIGHTS	95	JUNE 1965	PAGE 29
BLINK BLINK	MAN BLINKING	107	DEC 66	PAGE 28
BLINK BLINK	FRANKENSTEIN EYE MOVING	164	JAN 1974	PAGE 27
BLINK BLONK BLINK BLONK	FLASHING LIGHTED ARROWS	107	DEC 66	PAGE 28
BLIOMP	SPY PULLING POISONED SWORD FROM ARM	106	OCT 66	PAGE 24
BLIT	EYE BEING VACUUMED	89	SEPT 1964	PAGE 48
BLOBBLE	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
BLOIT	POPEYE'S MUSCLE POPPING UP	224	JULY 1981	PAGE 16
BLOOM BLOOM	REAL GUN FIRING	148	JAN 1972	PAGE 19
BLOOP	WOMAN TIGHTENING HER HUSBAND'S LEATHER BELT	77	MARCH 1963	PAGE 35
BLORF BREEDEET	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
BLORP	BOY DISAPPEARING IN WET CEMENT	190	APR 1977	PAGE 48
BLORP	EYES POPPING UP IN WATER	193	SEP 1977	BACK COVER
BLUB BLUB BLUB BLUB	HELICOPTER FLYING	93	MAR 1965	PAGE 7
BLUB BLUB BLUB BLUB BLUB	BOY SINKING IN WET CEMENT	190	APR 1977	PAGE 48
BONG	MAN'S HEAD HITTING A BELL	45	MARCH 1959	PAGE 48
BONG	CINDER BLOCK BOUNCING OFF PEDESTRIAN'S HEAD	70	APRIL 1962	PAGE 37
BONG	REFRIGERATOR TIMER GOING OFF	73	SEPTEMBER 1962	PAGE 17
BONG	TRAIN STATION LOCAL NUMBER POPPING UP	100	JAN 66	PAGE 48
BONG	BELL	134	APRIL 1970	PAGE 41
BONG	BELL	134	APRIL 1970	PAGE 42
BONG	CLOCK STRIKING MIDNIGHT	195	DEC 1977	BACK COVER
BONG	ELEVATOR STOPPING AT A FLOOR	219	DEC 1980	PAGE 15
BONG BONG BONG BONG BONG BONG BONG BONG	HUNCH BACK RINGING ICE CREAM CART BELL	203	DEC 1978	BACK COVER
BONG, FLADIP, FLUK	TELL YOUR FORTUNE MACHINE TICKET READY AND GUY PICKS UP TICKET	252	JAN 1985	PAGE 48
BOOM	CANNON	137	SEPTEMBER 1970	PAGE 11
BOOM	SHOOTING MAN OUT OF CANNON	177	SEPT 1975	PAGE 48
BOOMA DOOMA (REPEAT 4 TIMES)	A DISTANT DRUM MESSAGE	90	OCT 1964	PAGE 48
BOOMER-ROOM	ATOMIC BLAST	238	APRIL 1983	PAGE 14
BPLFLT!	MAN'S HEAD SQUASHED BY A LARGE BOTTOMED BUS RIDER	64	JULY 1961	PAGE 27
BRAGHK	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
BRAK GRAK	CAR SHIFTING TO FIRST GEAR	95	JUNE 1965	PAGE 28
BRAP	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
BRAVO BRAVO	AUDIENCE	55	JUNE 1960	PAGE 8
BRAVO BRAVO BRAVO	AUDIENCE CHEERING	187	DEC 1976	PAGE 42
BRAVO BRAVO HOORAY BRAVO YIPPEE	AUDIENCE CHEERING	187	DEC 1976	PAGE 42
BREEBEEP	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
BREEDEET	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
BREEP-BREEP	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
BREET BREET	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
BREET BROOT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
BREET-BREET TOOD TOOD	CHIRPING CRICKETS AND TREE TOADS	92	JAN 1965	PAGE 47
BRING	PHONE RINGING	164	JAN 1974	PAGE 29
BRNNGT BRNNGT	TELEPHONE RINGING	231	JUNE 1982	PAGE 31
BROODOOT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
BROOM	CAR WHEELING AWAY	95	JUNE 1965	PAGE 28
BROOM GROOM!! BROOM!!	START UP OF A TWIN ENGINE AIRCRAFT	68	JANUARY 1962	PAGE 8
BROOM PUCKA PUCKA PUCKA BROOM PUCKA PUCKA	CAR REVVING FOR A DRAG RACE	95	JUNE 1965	PAGE 30
BRRRAPP!	BOY BELCHING	179	DEC 1975	PAGE 11
BRRRNNG ... BRRRNNG ...	PHONE RING	201	SEP 1978	PAGE 48
BUKKIDA BUKKIDA BAKKIDA BAKKIDA BUKKIDA BUKKIDA BAKKIDA BAKKIDA	BOXER PUMMELS HEAD OF OPPONENT	SPECIAL #23	1977	BONUS INSERT STICKERS
BUR-RP	PATIENT BELCHING IN I.V. BAG	104	JULY 66	PAGE 25
BWAUGHK	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
BWEEP	SCIENTISTS LEG GROWING	108	JAN 67	PAGE 48
